Giraffe Id	Sex	Birth Date	Sire	Dam	Birth Location	Local Id	Name	Subspecies	Current Zoo	City	State	Event
1332	F	1982-12-22	471	510	CHICAGOBR	24941	MAGIC	ret/roth	NULL	NULL	NULL	Birth
1337	F	1983-01-01	WILD	WILD	KENYA	NONE	LACEY	ret/roth	NULL	NULL	NULL	Capture
1340	M	1983-01-01	WILD	WILD	KENYA	NONE	ELLIS	ret/roth	NULL	NULL	NULL	Capture
1425	f	1984-05-09	706	789	DENVER	07935	BALINDA/MALINDE	ret/roth	Milwaukee County Zoological Gardens	Milwaukee	Wisconsin	Birth
1521	f	1985-12-28	1124	1032	METROZOO	M00538	TAMU	ret/roth	Cheyenne Mtn Zoological Park	Colorado Springs	Colorado	Birth
1523	f	1986-01-01	1183	474	COLO SPRG	010101	DIAMOND	ret/roth	Jackson Zoological Park	Jackson	Mississippi	Birth
1535	M	1986-03-14	987	792	ST LOUIS	086402	CLANCY/SHINGO	ret/roth	Lee Richardson Zoo	Garden City	Kansas	Birth
1640	F	1987-12-29	706	1208	DENVER	10891	EDIE	ret/roth	NULL	NULL	NULL	Birth
1668	M	1988-06-26	1310	1332	CHICAGOBR	880205	KIPAJI/KAPAJI	ret/roth	NULL	NULL	NULL	Birth
1722	F	1989-05-16	928	1109	OAKLAND	654	T'KEYAH/TIKI	ret/roth/tipp	Oakland Zoo	Oakland	California	Birth
1801	f	1990-03-09	1321	1218	COLO SPRG	90M006	UHURA	ret/roth	NULL	NULL	NULL	Birth
1830	M	1990-07-13	1340	1337	BUSCH TAM	53477	LUCIFER/LUKE	ret/roth	NULL	NULL	NULL	Birth
1831	F	1990-07-16	1321	1523	COLO SPRG	90M047	RIYADH	ret/roth	Cheyenne Mtn Zoological Park	Colorado Springs	Colorado	Birth
2068	F	1993-09-08	1236	1425	MILWAUKEE	3863	MADORA	ret/roth	Cheyenne Mtn Zoological Park	Colorado Springs	Colorado	Birth
2105	F	1994-03-18	1668	1722	OAKLAND	928	TWIGA*	ret/roth	Oakland Zoo	Oakland	California	Birth
2112	F	1994-04-21	613	1640	SEDGWICK	6575	TWIGA	ret/roth	Sedgwick County Zoo	Wichita	Kansas	Birth
2185	M	1995-02-13	1668	480	OAKLAND	991	KODJO	ret/roth	NULL	NULL	NULL	Birth
2448	F	1998-04-03	1274	1831	COLO SPRG	98M014	MUZIKI	ret/roth	Cheyenne Mtn Zoological Park	Colorado Springs	Colorado	Birth
2458	M	1998-06-02	1830	1041	CALDWELL	104224	SHORTY/EMMITT	ret/roth	Sedgwick County Zoo	Wichita	Kansas	Birth
2641	F	1999-12-13	1274	1801	COLO SPRG	99M074	AMANI	ret/roth	Cheyenne Mtn Zoological Park	Colorado Springs	Colorado	Birth
2656	F	2000-03-09	1274	1218	COLO SPRG	20M005	TOHARA/LAKEISHA	ret/roth	Cheyenne Mtn Zoological Park	Colorado Springs	Colorado	Birth
2661	M	2000-05-07	1535	1521	GARDENCTY	A01016	MAWIMBI	ret/roth	NULL	Colorado Springs	Colorado	Birth
2714	F	2000-12-10	1274	1831	COLO SPRG	20M083	TWIGA	ret/roth	Cheyenne Mtn Zoological Park	Colorado Springs	Colorado	Birth
2754	F	2001-05-17	1274	1801	COLO SPRG	21M037	UZURI	ret/roth	Cheyenne Mtn Zoological Park	Colorado Springs	Colorado	Birth
2762	F	2001-07-28	1274	2448	COLO SPRG	21M075	AJALI	ret/roth	NULL	Colorado Springs	Colorado	Birth
2819	F	2002-09-21	1274	1801	COLO SPRG	22M038	MSICHANA	ret/roth	Cheyenne Mtn Zoological Park	Colorado Springs	Colorado	Birth
2882	m	2003-05-10	1274	1218	COLO SPRG	23M016	MAHALI	ret/roth	Cheyenne Mtn Zoological Park	Colorado Springs	Colorado	Birth
3145	F	2007-06-20	1274	1801	COLO SPRG	27M054	LAIKIPIA 2	ret/roth	Cheyenne Mtn Zoological Park	Colorado Springs	Colorado	Birth
3169	F	2007-07-24	1274	1218	COLO SPRG	27M064	AZMERA	ret/roth	Cheyenne Mtn Zoological Park	Colorado Springs	Colorado	Birth
3186	M	2008-05-03	2185	2105	OAKLAND	10M003	FHALID KODJO	ret/roth	Cheyenne Mtn Zoological Park	Colorado Springs	Colorado	Loan To
3265	F	2009-02-05	2661	1801	COLO SPRG	29M003	Msitu	ret/roth	Cheyenne Mtn Zoological Park	Colorado Springs	Colorado	Birth
3376	m	2010-03-23	2661	2448	COLO SPRG	10M006	MASHAMA	ret/roth	Cheyenne Mtn Zoological Park	Colorado Springs	Colorado	Birth
3377	m	2010-03-24	2661	2754	COLO SPRG	10M007	TUMBILI	ret/roth	Cheyenne Mtn Zoological Park	Colorado Springs	Colorado	Birth
3424	F	2010-11-14	2661	1831	COLO SPRG	10M078	BETTY FRANCIS	ret/roth	Cheyenne Mtn Zoological Park	Colorado Springs	Colorado	Birth
